Time;Participant_ID;Stimulus_ID;Smell_detected;pleasant;present;light;engaging;unpleasant;absent;overpowering;detached;Acceptability;Odour_intensity;Hedonic_tone;Smelliness;Satisfaction;Appropriatness
2025/11/28 12:17:42 PM CET;P12;C09;pine;3;4;4;3;2;2;2;3;Just acceptable;Distinct;1;Slightly smelly;Satisfied;Very
2025/11/28 12:25:44 PM CET;P12;C05;don't know;3;4;3;3;2;2;1;3;Just acceptable;Strong;1;Smelly;Satisfied;Very
2025/11/28 12:35:24 PM CET;P12;C07;don't know;3;4;4;3;2;2;1;3;Just acceptable;Distinct;1;Slightly smelly;Satisfied;Very
2025/11/28 12:47:42 PM CET;P12;C02;pine;3;4;2;3;2;2;2;3;Just acceptable;Strong;0;Smelly;Satisfied;Very
2025/12/02 2:08:05 PM CET;P35;C09;shoes, leather, mint;2;4;2;2;4;2;2;2;Just unacceptable;Strong;-1;Smelly;Unsatisfied;Very
2025/12/02 2:16:03 PM CET;P35;C06;mint, tea tree;5;5;1;4;1;1;4;1;Clearly acceptable;Very strong;4 Very pleasant;Not smelly;Satisfied;Not at all
2025/12/02 2:23:37 PM CET;P35;C08;salt;3;4;4;2;3;2;2;4;Just acceptable;Distinct;-1;Slightly smelly;Unsatisfied;Slightly
2025/12/02 2:31:39 PM CET;P35;C07;salt, shoes;2;4;2;2;5;2;2;4;Just unacceptable;Distinct;-2;Smelly;Unsatisfied;Moderately
2025/12/02 2:39:10 PM CET;P35;C02;mint, tea tree;5;4;2;4;1;1;4;2;Clearly acceptable;Very strong;3;Slightly smelly;Satisfied;Not at all
2025/12/02 4:02:20 PM CET;P31;C03;pine, musk, wood;4;4;2;4;1;1;3;3;Clearly acceptable;Very strong;3;Very smelly;Satisfied;Slightly
2025/12/02 4:11:14 PM CET;P31;C01;coca cola, musk;4;4;4;4;2;1;2;3;Just acceptable;Strong;2;Very smelly;Satisfied;Slightly
2025/12/02 4:18:48 PM CET;P31;C09;nothing;;;;;;;;;;;;;;
2025/12/02 4:26:37 PM CET;P31;C07;nothing;3;1;5;3;3;5;3;3;Clearly acceptable;No odour;0;Not smelly;Satisfied;Very
2025/12/02 4:41:57 PM CET;P31;C02;sweet, musk;4;5;1;3;2;1;3;3;Just acceptable;Very strong;2;Very smelly;Satisfied;Slightly
2025/12/02 4:49:29 PM CET;P31;C04;flower perfume;5;5;2;3;1;1;3;3;Clearly acceptable;Strong;3;Smelly;Satisfied;Slightly
2025/12/02 4:57:08 PM CET;P31;C05;flower perfume;4;4;2;3;1;2;3;3;Clearly acceptable;Strong;2;Smelly;Satisfied;Moderately
2025/12/02 5:04:19 PM CET;P31;C08;.;3;2;4;3;2;4;3;3;Just acceptable;Very week;1;Slightly smelly;Satisfied;Moderately
2025/12/02 5:13:08 PM CET;P31;C06;soap;4;4;2;3;2;2;3;3;Just acceptable;Strong;1;Smelly;Satisfied;Slightly
2025/12/02 6:35:43 PM CET;P29;C03;perfume;4;4;4;5;2;2;2;2;Just acceptable;Strong;2;Smelly;Satisfied;Moderately
2025/12/02 6:44:10 PM CET;P29;C07;violet;4;4;5;2;1;2;2;3;Just acceptable;Weak;-1;Slightly smelly;Unsatisfied;Very
2025/12/02 6:51:39 PM CET;P29;C01;tea tree oil;3;4;2;3;3;2;2;2;Just unacceptable;Distinct;-2;Smelly;Unsatisfied;Not at all
2025/12/02 6:59:19 PM CET;P29;C08;smoke;3;2;2;2;3;4;2;2;Just acceptable;Very week;1;Slightly smelly;Unsatisfied;Moderately
2025/12/02 7:06:26 PM CET;P29;C05;freshness;4;4;2;4;2;2;2;2;Just acceptable;Strong;1;Smelly;Satisfied;Slightly
